mpicxx -O3 -DUSE_HIP -w src/task1_shared.cu -o build/task1
mpicxx -O3 -DUSE_HIP -w src/task2.cu -o build/task2
Running task1...
Iteration 9500, Residual: 6.790397e+04, Error: 5.440200e+02
Iteration 9600, Residual: 6.679760e+04, Error: 5.367540e+02
Iteration 9700, Residual: 6.571229e+04, Error: 5.296060e+02
Iteration 9800, Residual: 6.464759e+04, Error: 5.225736e+02
Iteration 9900, Residual: 6.360306e+04, Error: 5.156546e+02
Iteration 10000, Residual: 6.257825e+04, Error: 5.088468e+02
Iteration 10100, Residual: 6.157276e+04, Error: 5.021482e+02
Iteration 10200, Residual: 6.058617e+04, Error: 4.955565e+02
Iteration 10300, Residual: 5.961808e+04, Error: 4.890699e+02
Iteration 10400, Residual: 5.866810e+04, Error: 4.826862e+02
Iteration 10500, Residual: 5.773585e+04, Error: 4.764036e+02
Iteration 10600, Residual: 5.682095e+04, Error: 4.702202e+02
Iteration 10700, Residual: 5.592306e+04, Error: 4.641340e+02
Iteration 10800, Residual: 5.504180e+04, Error: 4.581432e+02
Iteration 10900, Residual: 5.417684e+04, Error: 4.522461e+02
Iteration 11000, Residual: 5.332784e+04, Error: 4.464408e+02
Iteration 11100, Residual: 5.249447e+04, Error: 4.407258e+02
Iteration 11200, Residual: 5.167640e+04, Error: 4.350992e+02
Iteration 11300, Residual: 5.087333e+04, Error: 4.295595e+02
Iteration 11400, Residual: 5.008495e+04, Error: 4.241050e+02
Iteration 11500, Residual: 4.931094e+04, Error: 4.187341e+02
Iteration 11600, Residual: 4.855104e+04, Error: 4.134454e+02
Iteration 11700, Residual: 4.780493e+04, Error: 4.082373e+02
Iteration 11800, Residual: 4.707235e+04, Error: 4.031083e+02
Iteration 11900, Residual: 4.635303e+04, Error: 3.980569e+02
Iteration 12000, Residual: 4.564668e+04, Error: 3.930818e+02
Iteration 12100, Residual: 4.495306e+04, Error: 3.881816e+02
Iteration 12200, Residual: 4.427190e+04, Error: 3.833549e+02
Iteration 12300, Residual: 4.360296e+04, Error: 3.786003e+02
Iteration 12400, Residual: 4.294599e+04, Error: 3.739165e+02
Iteration 12500, Residual: 4.230075e+04, Error: 3.693023e+02
Iteration 12600, Residual: 4.166700e+04, Error: 3.647564e+02
Iteration 12700, Residual: 4.104452e+04, Error: 3.602777e+02
Iteration 12800, Residual: 4.043309e+04, Error: 3.558648e+02
Iteration 12900, Residual: 3.983247e+04, Error: 3.515166e+02
Iteration 13000, Residual: 3.924247e+04, Error: 3.472319e+02
Iteration 13100, Residual: 3.866286e+04, Error: 3.430097e+02
Iteration 13200, Residual: 3.809345e+04, Error: 3.388487e+02
Iteration 13300, Residual: 3.753402e+04, Error: 3.347480e+02
Iteration 13400, Residual: 3.698439e+04, Error: 3.307065e+02
Iteration 13500, Residual: 3.644436e+04, Error: 3.267231e+02
Iteration 13600, Residual: 3.591374e+04, Error: 3.227967e+02
Iteration 13700, Residual: 3.539235e+04, Error: 3.189265e+02
Iteration 13800, Residual: 3.488001e+04, Error: 3.151114e+02
Iteration 13900, Residual: 3.437653e+04, Error: 3.113504e+02
Iteration 14000, Residual: 3.388175e+04, Error: 3.076427e+02
Iteration 14100, Residual: 3.339549e+04, Error: 3.039873e+02
Iteration 14200, Residual: 3.291760e+04, Error: 3.003832e+02
Iteration 14300, Residual: 3.244790e+04, Error: 2.968297e+02
Iteration 14400, Residual: 3.198624e+04, Error: 2.933258e+02
