mpicxx -O3 -DUSE_HIP -w src/task1.cu -o build/task1
mpicxx -O3 -DUSE_HIP -w src/task2.cu -o build/task2
Running task1...
Iteration 9600, Residual: 6.784842e+03, Error: 7.086949e+01
Iteration 9700, Residual: 6.606814e+03, Error: 6.918732e+01
Iteration 9800, Residual: 6.434256e+03, Error: 6.754818e+01
Iteration 9900, Residual: 6.266963e+03, Error: 6.595080e+01
Iteration 10000, Residual: 6.104739e+03, Error: 6.439395e+01
Iteration 10100, Residual: 5.947396e+03, Error: 6.287643e+01
Iteration 10200, Residual: 5.794755e+03, Error: 6.139712e+01
Iteration 10300, Residual: 5.646644e+03, Error: 5.995491e+01
Iteration 10400, Residual: 5.502899e+03, Error: 5.854874e+01
Iteration 10500, Residual: 5.363364e+03, Error: 5.717757e+01
Iteration 10600, Residual: 5.227888e+03, Error: 5.584043e+01
Iteration 10700, Residual: 5.096327e+03, Error: 5.453636e+01
Iteration 10800, Residual: 4.968544e+03, Error: 5.326443e+01
Iteration 10900, Residual: 4.844406e+03, Error: 5.202376e+01
Iteration 11000, Residual: 4.723787e+03, Error: 5.081348e+01
Iteration 11100, Residual: 4.606567e+03, Error: 4.963276e+01
Iteration 11200, Residual: 4.492629e+03, Error: 4.848079e+01
Iteration 11300, Residual: 4.381861e+03, Error: 4.735680e+01
Iteration 11400, Residual: 4.274159e+03, Error: 4.626004e+01
Iteration 11500, Residual: 4.169418e+03, Error: 4.518977e+01
Iteration 11600, Residual: 4.067542e+03, Error: 4.414530e+01
Iteration 11700, Residual: 3.968436e+03, Error: 4.312592e+01
Iteration 11800, Residual: 3.872011e+03, Error: 4.213100e+01
Iteration 11900, Residual: 3.778178e+03, Error: 4.115988e+01
Iteration 12000, Residual: 3.686856e+03, Error: 4.021194e+01
Iteration 12100, Residual: 3.597964e+03, Error: 3.928659e+01
Iteration 12200, Residual: 3.511425e+03, Error: 3.838323e+01
Iteration 12300, Residual: 3.427167e+03, Error: 3.750131e+01
Iteration 12400, Residual: 3.345117e+03, Error: 3.664027e+01
