mpicxx -O3 -DUSE_HIP -w src/task1_shared.cu -o build/task1
mpicxx -O3 -DUSE_HIP -w src/task2.cu -o build/task2
Running task1...
Iteration 100, Residual: 8.379423e+04, Error: 4.006339e+02
Iteration 200, Residual: 5.887664e+04, Error: 3.375052e+02
Iteration 300, Residual: 4.631085e+04, Error: 2.877910e+02
Iteration 400, Residual: 3.777705e+04, Error: 2.472243e+02
Iteration 500, Residual: 3.136376e+04, Error: 2.135820e+02
Iteration 600, Residual: 2.631686e+04, Error: 1.854084e+02
Iteration 700, Residual: 2.224538e+04, Error: 1.616501e+02
Iteration 800, Residual: 1.891110e+04, Error: 1.415030e+02
Iteration 900, Residual: 1.615333e+04, Error: 1.243352e+02
Iteration 1000, Residual: 1.385629e+04, Error: 1.096405e+02
Iteration 1100, Residual: 1.193277e+04, Error: 9.700843e+01
Iteration 1200, Residual: 1.031510e+04, Error: 8.610367e+01
Iteration 1300, Residual: 8.949560e+03, Error: 7.665082e+01
Iteration 1400, Residual: 7.792939e+03, Error: 6.842283e+01
Iteration 1500, Residual: 6.810048e+03, Error: 6.123200e+01
Iteration 1600, Residual: 5.972044e+03, Error: 5.492283e+01
Iteration 1700, Residual: 5.255155e+03, Error: 4.936616e+01
Iteration 1800, Residual: 4.639726e+03, Error: 4.445449e+01
Iteration 1900, Residual: 4.109472e+03, Error: 4.009814e+01
Iteration 2000, Residual: 3.650885e+03, Error: 3.622199e+01
Iteration 2100, Residual: 3.252749e+03, Error: 3.276300e+01
Iteration 2200, Residual: 2.905749e+03, Error: 2.966799e+01
Iteration 2300, Residual: 2.602139e+03, Error: 2.689193e+01
Iteration 2400, Residual: 2.335480e+03, Error: 2.439652e+01
Iteration 2500, Residual: 2.100406e+03, Error: 2.214904e+01
Iteration 2600, Residual: 1.892442e+03, Error: 2.012138e+01
Iteration 2700, Residual: 1.707847e+03, Error: 1.828925e+01
Iteration 2800, Residual: 1.543486e+03, Error: 1.663161e+01
Iteration 2900, Residual: 1.396719e+03, Error: 1.513011e+01
Iteration 3000, Residual: 1.265320e+03, Error: 1.376866e+01
Iteration 3100, Residual: 1.147402e+03, Error: 1.253313e+01
Iteration 3200, Residual: 1.041356e+03, Error: 1.141103e+01
Iteration 3300, Residual: 9.458065e+02, Error: 1.039129e+01
Iteration 3400, Residual: 8.595711e+02, Error: 9.464041e+00
Iteration 3500, Residual: 7.816271e+02, Error: 8.620504e+00
Iteration 3600, Residual: 7.110865e+02, Error: 7.852803e+00
Iteration 3700, Residual: 6.471744e+02, Error: 7.153876e+00
Iteration 3800, Residual: 5.892114e+02, Error: 6.517371e+00
Iteration 3900, Residual: 5.365996e+02, Error: 5.937564e+00
Iteration 4000, Residual: 4.888099e+02, Error: 5.409292e+00
Iteration 4100, Residual: 4.453733e+02, Error: 4.927883e+00
Iteration 4200, Residual: 4.058719e+02, Error: 4.489113e+00
Iteration 4300, Residual: 3.699325e+02, Error: 4.089151e+00
Iteration 4400, Residual: 3.372211e+02, Error: 3.724524e+00
Iteration 4500, Residual: 3.074375e+02, Error: 3.392079e+00
Iteration 4600, Residual: 2.803119e+02, Error: 3.088951e+00
Iteration 4700, Residual: 2.556009e+02, Error: 2.812537e+00
Iteration 4800, Residual: 2.330848e+02, Error: 2.560469e+00
Iteration 4900, Residual: 2.125651e+02, Error: 2.330593e+00
Iteration 5000, Residual: 1.938617e+02, Error: 2.120948e+00
Iteration 5100, Residual: 1.768118e+02, Error: 1.929749e+00
Iteration 5200, Residual: 1.612673e+02, Error: 1.755369e+00
Iteration 5300, Residual: 1.470941e+02, Error: 1.596328e+00
Iteration 5400, Residual: 1.341702e+02, Error: 1.451276e+00
Iteration 5500, Residual: 1.223845e+02, Error: 1.318983e+00
Iteration 5600, Residual: 1.116363e+02, Error: 1.198330e+00
Iteration 5700, Residual: 1.018337e+02, Error: 1.088294e+00
